YEAR,ANNUAL EXPENSE,MONTHLY EXPENSE,DEBT PF YR START,EQUITY PF YR START,DEBT PF YEAR END,EQUITY PF YEAR END
1,1200000.0,100000.0,4000000.0,6000000.0,3731200.0,5913600.0
2,1272000.0,106000.0,3731200.0,5913600.0,3415744.0,5768448.0
3,1348320.0,112360.0,3415744.0,5768448.0,3049000.96,5554590.72
4,1429219.2,119101.6,3049000.96,5554590.72,2625952.08,5260706.3
5,1514972.35,126247.7,2625952.08,5260706.3,2141160.93,4873929.64
6,1605870.69,133822.56,2141160.93,4873929.64,1588741.41,4379656.09
7,1702222.93,141851.91,1588741.41,4379656.09,962323.37,3761321.01
8,1804356.31,150363.03,962323.37,3761321.01,255015.7,3000152.09
9,1912617.69,159384.81,255015.7,3000152.09,-540633.26,2074891.25
10,2027374.75,168947.9,-540633.26,2074891.25,-1432678.15,961482.37
11,2149017.24,179084.77,-1432678.15,961482.37,-2429822.15,-367279.33
12,2277958.27,189829.86,-2429822.15,-367279.33,-3541465.79,-1942140.81
13,2414635.77,201219.65,-3541465.79,-1942140.81,-4777759.3,-3797832.94
14,2559513.91,213292.83,-4777759.3,-3797832.94,-6149658.76,-5973566.24
15,2713084.75,226090.4,-6149658.76,-5973566.24,-7668986.22,-8513587.14
16,2875869.83,239655.82,-7668986.22,-8513587.14,-9348494.2,-11467802.12
17,3048422.02,254035.17,-9348494.2,-11467802.12,-11201934.79,-14892477.97
18,3231327.34,269277.28,-11201934.79,-14892477.97,-13244133.67,-18851027.3
19,3425206.98,285433.91,-13244133.67,-18851027.3,-15491069.45,-23414889.67
20,3630719.4,302559.95,-15491069.45,-23414889.67,-17959958.64,-28664519.87
21,3848562.57,320713.55,-17959958.64,-28664519.87,-20669346.69,-34690496.3
22,4079476.32,339956.36,-20669346.69,-34690496.3,-23639205.45,-41594763.94
23,4324244.9,360353.74,-23639205.45,-41594763.94,-26891037.61,-49492028.19
24,4583699.59,381974.97,-26891037.61,-49492028.19,-30447988.49,-58511317.7
25,4858721.57,404893.46,-30447988.49,-58511317.7,-34334965.75,-68797736.72
26,5150244.86,429187.07,-34334965.75,-68797736.72,-38578767.52,-80514429.67
27,5459259.56,454938.3,-38578767.52,-80514429.67,-43208219.62,-93844783.65
28,5786815.13,482234.59,-43208219.62,-93844783.65,-48254322.41,-108994897.46
29,6134024.04,511168.67,-48254322.41,-108994897.46,-53750407.95,-126196349.31
30,6502065.48,541838.79,-53750407.95,-126196349.31,-59732308.19,-145709299.23
31,6892189.41,574349.12,-59732308.19,-145709299.23,-66238534.99,-167825966.42
32,7305720.77,608810.06,-66238534.99,-167825966.42,-73310472.7,-192874526.75
33,7744064.02,645338.67,-73310472.7,-192874526.75,-80992584.21,-221223480.98
34,8208707.86,684058.99,-80992584.21,-221223480.98,-89332631.4,-253286550.38
35,8701230.33,725102.53,-89332631.4,-253286550.38,-98381910.94,-289528163.21
36,9223304.15,768608.68,-98381910.94,-289528163.21,-108195506.56,-330469603.18
37,9776702.4,814725.2,-108195506.56,-330469603.18,-118832558.77,-376695899.57
38,10363304.54,863608.71,-118832558.77,-376695899.57,-130356553.42,-428863548.17
39,10985102.82,915425.24,-130356553.42,-428863548.17,-142835630.22,-487709163.05
40,11644208.99,970350.75,-142835630.22,-487709163.05,-156342912.64,-554059171.06
41,12342861.52,1028571.79,-156342912.64,-554059171.06,-170956860.68,-628840674.53
42,13083433.22,1090286.1,-170956860.68,-628840674.53,-186761648.01,-713093622.6
43,13868439.21,1155703.27,-186761648.01,-713093622.6,-203847565.12,-807984448.46
44,14700545.56,1225045.46,-203847565.12,-807984448.46,-222311450.34,-914821348.89
45,15582578.3,1298548.19,-222311450.34,-914821348.89,-242257150.56,-1035071403.37
46,16517532.99,1376461.08,-242257150.56,-1035071403.37,-263796013.58,-1170379753.94
47,17508584.97,1459048.75,-263796013.58,-1170379753.94,-287047414.42,-1322591093.51
48,18559100.07,1546591.67,-287047414.42,-1322591093.51,-312139317.71,-1493773739.98
49,19672646.08,1639387.17,-312139317.71,-1493773739.98,-339208878.71,-1686246606.94
50,20853004.84,1737750.4,-339208878.71,-1686246606.94,-368403085.48,-1902609419.03
