Ticker,Entry Date,RV,Return (%)
ULTRACEMCO,2021-11-01,1.2599233244467283,-7.208903707047505
ASIANPAINT,2021-11-17,1.2517014713636183,-5.942260159290167
SUPREMEIND,2021-12-07,1.3422963443665599,-4.367150249358351
INOXWIND,2021-10-12,1.9520948759761125,-8.720001220703125
METROPOLIS,2021-10-26,1.3477542117743457,-6.740118070621867
PRESTIGE,2021-06-14,1.4541035355000953,54.83114501179524
INFY,2022-03-14,1.2551363484343587,-17.385099786633077
FACT,2022-03-23,1.2647980672167296,-4.891098012315406
AMBER,2022-03-02,1.4684804713495672,-22.242191126592843
ADANIENSOL,2022-07-06,1.359996591651614,25.085106337479317
TIMKEN,2022-06-01,1.676904786848806,1.1136494092286011
TVSMOTOR,2022-12-29,1.4193585607508477,-7.257044343137581
HINDZINC,2023-03-27,2.0936523206383377,4.041316779868125
POWERMECH,2023-02-21,1.5807044667258705,68.59011933858838
FINPIPE,2023-06-15,1.5344822746650968,10.887198066738286
MANAPPURAM,2023-06-16,1.3103802252503751,10.385292584385562
DRREDDY,2023-06-09,1.3308545368754798,15.287740002383062
IONEXCHANG,2022-08-30,1.4741218501187843,169.31961240996006
AIAENG,2023-02-03,1.5054595702003428,32.461683364511195
PERSISTENT,2023-08-07,1.2520543412727445,44.26358674178024
RAINBOW,2024-03-22,1.927519359953493,2.134825257372025
HEG,2024-03-18,1.446627632790792,12.385064560275252
RECLTD,2022-11-03,1.4096298689093543,507.1244724574684
ADANIGREEN,2024-08-14,1.7467399848806986,-1.8221574048809488
GRANULES,2024-10-15,1.948958923434974,-5.661641034834884
TVSMOTOR,2024-05-14,1.3384222279223814,14.633681735943856
MUTHOOTFIN,2024-03-26,1.7905948183185996,23.439845125004005
JBCHEPHARM,2024-10-23,1.41063726748892,-7.229421357388661
SONACOMS,2024-11-11,1.4769213173641056,-4.755428638422952
CCL,2024-11-11,1.2672573927673225,-7.699316939407173
CUB,2024-10-28,1.7072071992678846,-5.69648818970465
TRITURBINE,2024-11-26,1.4436564890411407,-14.80673005245837
WELCORP,2024-07-04,2.021249589179557,17.208609089449677
BLUESTARCO,2025-02-10,1.2680772426148104,-4.449216064412527
ULTRACEMCO,2025-02-07,1.3545166342422745,-5.136762316046249
BLUESTARCO,2025-03-04,1.5799967175301646,-17.20657451342547
MUTHOOTFIN,2025-05-06,1.7190886990505179,-9.674403181280976
SHAILY,2024-01-31,1.8013927518244592,308.10068642458543
AARTIPHARM,2025-02-07,2.0234645565218954,2.602589115904835
ABBOTINDIA,2025-02-19,1.4680498192762124,6.267233494540752
COROMANDEL,2025-03-19,1.3017641856375173,10.86121271510329
KIMS,2025-03-25,1.625970127970344,10.568788924615465
PARADEEP,2025-09-29,1.2953289444534497,-7.899203317776352
MEDANTA,2025-07-10,1.6047287656125067,-1.5854308645112538
SHAILY,2025-08-14,1.692990445636191,21.51345670867848
MUTHOOTFIN,2025-06-05,1.4313996186908857,50.788797879113865
TITAN,2025-10-16,1.6517846118967352,8.545994817536357
MRPL,2026-01-28,1.768460602267126,-0.6925940291796379
SHRIRAMFIN,2026-04-15,1.332205507709327,-5.538957550989418
