360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH;INF579M01AS1
360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW;INF579M01AT9
360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW;INF579M01AU7
CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION;INF760K01EF0
CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment);INF760K01ED5
CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment);INF760K01EE3
ICICI Prudential Flexicap Fund - Direct Plan - Growth;INF109KC1R14
ICICI Prudential Flexicap Fund - Direct Plan - IDCW;INF109KC1R22
ICICI Prudential Flexicap Fund - Direct Plan - IDCW;INF109KC1R30
JM Flexicap Fund (Direct) - Growth Option;INF192K01CC7
JM Flexicap Fund (Direct) - IDCW;INF192K01CA1
JM Flexicap Fund (Direct) - IDCW;INF192K01CB9
Kotak Flexicap Fund - Growth - Direct;INF174K01LS2
Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option- Direct;INF174K01LQ6
Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option- Direct;INF174K01LR4
SBI Flexicap Fund - DIRECT PLAN - Growth Option;INF200K01UG1
SBI Flexicap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW);INF200K01UE6
SBI Flexicap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW);INF200K01UF3
Sundaram Flexicap Fund Direct Growth;INF903JA1LE2
Sundaram Flexicap Fund Direct Plan IDCW Payout;INF903JA1LF9
Sundaram Flexicap Fund Direct Plan IDCW Reinvestment;INF903JA1LG7
Motilal Oswal Diversified Equity Flexicap Passive Fund of Funds- Direct - Growth;INF247L01GL9
Nippon India Diversified Equity Flexicap Passive FoF - Direct Plan - Growth Option;INF204KB16X6
Nippon India Diversified Equity Flexicap Passive FoF- DIRECT Plan - IDCW Option;INF204KB17X4
Nippon India Diversified Equity Flexicap Passive FoF- DIRECT Plan - IDCW Option;INF204KB18X2
DSP Nifty500 Flexicap Quality 30 Index Fund - Direct - Growth;INF740KA1WR5
DSP Nifty500 Flexicap Quality 30 Index Fund - Direct - IDCW;INF740KA1WS3
DSP Nifty500 Flexicap Quality 30 Index Fund - Direct - IDCW;INF740KA1WT1
