MF NAME,Start Date,End Date,Total Years,Initial NAV,Final NAV,Overall CAGR (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),1Y CAGR (%),3Y CAGR (%),5Y CAGR (%)
Kotak Nifty Smallcap 50 Index Fund - Direct Plan - Growth,2023-04-18,2026-04-13,2.99,10.213,19.054,23.22,20.19,0.83,-25.01,4.59,,
Nippon India Nifty Smallcap 250 Index Fund - Direct Plan - Growth Option,2020-10-19,2026-04-13,5.48,10.0388,31.0608,22.88,18.6,0.88,-26.95,3.09,19.56,17.52
Invesco India Smallcap Fund - Direct Plan - Growth,2018-11-02,2026-04-13,7.44,10.09,44.71,22.14,18.34,0.85,-37.66,8.86,24.73,23.0
Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,2019-09-11,2026-04-13,6.59,10.2098,35.0992,20.62,20.1,0.7,-42.44,3.17,20.04,17.77
TATA SmallCap Fund - Direct Plan - Payout of Income Distribution cum capital withdrawal option ,2019-06-14,2026-04-13,6.83,10.5754,37.8659,20.53,17.53,0.8,-36.61,-6.69,13.77,19.11
HDFC NIFTY Smallcap 250 Index Fund - Growth Option - Direct Plan,2023-04-21,2026-04-13,2.98,9.9846,17.0751,19.74,18.73,0.71,-26.19,3.01,,
ICICI Prudential Smallcap Fund - Direct Plan - Growth,2016-04-18,2026-04-13,9.98,19.57,91.43,16.69,15.62,0.65,-45.12,4.68,15.81,19.14
SBI Nifty Smallcap 250 Index Fund - Direct Plan - Growth,2022-10-11,2026-04-13,3.5,10.0587,17.0891,16.33,18.04,0.54,-26.19,3.0,19.81,
Edelweiss Nifty Smallcap 250 Index Fund - Direct Plan - Growth,2022-12-02,2026-04-13,3.36,10.0999,16.3245,15.35,18.38,0.48,-26.12,3.34,20.1,
Axis Nifty Smallcap 50 Index Fund - Direct Plan - Growth Option,2022-03-15,2026-04-13,4.08,9.9505,17.3539,14.61,19.81,0.41,-27.74,4.98,23.74,
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund-Direct Growth,2021-04-06,2026-04-13,5.02,10.1161,19.9714,14.51,20.53,0.39,-36.72,4.79,23.68,
ICICI Prudential Nifty Smallcap 250 Index Fund - Direct Plan - Growth,2021-11-03,2026-04-13,4.44,10.0059,16.0913,11.29,18.92,0.25,-26.89,3.07,19.75,
UTI Nifty Midsmallcap 400 Momentum Quality 100 Index Fund - Direct Plan - Growth Option,2025-02-18,2026-04-13,1.15,9.7227,10.8597,10.12,19.38,0.19,-17.37,7.79,,
BANDHAN Nifty Smallcap 250 Index Fund - Direct Plan - Growth,2023-12-26,2026-04-13,2.3,10.025,11.3666,5.62,19.99,-0.04,-26.12,3.09,,
Navi Nifty Smallcap 250 Momentum quality index fund- Direct Plan,2025-03-13,2026-04-13,1.08,9.9283,10.482,5.13,19.28,-0.07,-22.73,-0.67,,
DSP Nifty Smallcap250 Quality 50 Index Fund - Direct - Growth,2023-12-26,2026-04-13,2.3,10.0092,10.5005,2.11,20.16,-0.22,-30.71,-0.41,,
Groww Nifty Smallcap 250 Index Fund - Direct Plan - Growth,2024-03-01,2026-04-13,2.12,10.0599,10.4615,1.87,20.52,-0.23,-26.23,3.21,,
Kotak Nifty SmallCap 250 Index Fund- Direct - Growth,2025-01-30,2026-04-13,1.2,10.107,10.187,0.66,19.37,-0.3,-20.93,3.1,,
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF Fund of Fund - Direct Plan - Growth,2024-05-31,2026-04-13,1.87,9.86,9.608,-1.38,20.67,-0.38,-26.0,7.57,,
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF Fund of Fund - Direct Plan - Growth,2024-03-04,2026-04-13,2.11,10.082,9.232,-4.09,20.92,-0.51,-30.91,-0.82,,
