Aditya Birla Sun Life Nifty Smallcap 50 Index Fund-Direct Growth;INF209KB1W17
Axis Nifty Smallcap 50 Index Fund - Direct Plan - Growth Option;INF846K013H3
BANDHAN Nifty Smallcap 250 Index Fund - Direct Plan - Growth;INF194KB1HG9
DSP Nifty Smallcap 250 Index Fund - Direct - Growth;INF740KA1XH4
DSP Nifty Smallcap250 Quality 50 Index Fund - Direct - Growth;INF740KA1TW1
Edelweiss Nifty Smallcap 250 Index Fund - Direct Plan - Growth;INF754K01QT8
Groww Nifty Smallcap 250 Index Fund - Direct Plan - Growth;INF666M01HY9
HDFC NIFTY Smallcap 250 Index Fund - Growth Option - Direct Plan;INF179KC1GE4
ICICI Prudential Nifty Smallcap 250 Index Fund - Direct Plan - Growth;INF109KC1V18
ICICI Prudential Smallcap Fund - Direct Plan - Growth;INF109K015M0
Invesco India Smallcap Fund - Direct Plan - Growth;INF205K013T3
JioBlackRock Nifty Smallcap 250 Index Fund - Direct Plan - Growth Option;INF22M001051
Kotak Nifty SmallCap 250 Index Fund- Direct - Growth;INF174KA1UK9
Kotak Nifty Smallcap 50 Index Fund - Direct Plan - Growth;INF174KA1NB3
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF Fund of Fund - Direct Plan - Growth;INF769K01LN0
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF Fund of Fund - Direct Plan - Growth;INF769K01LG4
Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan;INF247L01932
Navi Nifty midsmallcap 400 Index Fund- Direct - Growth;INF959L01HR4
Navi Nifty Smallcap 250 Momentum quality index fund- Direct Plan;INF959L01HQ6
Nippon India Nifty Smallcap 250 Index Fund - Direct Plan - Growth Option;INF204KB15W0
SBI Nifty Smallcap 250 Index Fund - Direct Plan - Growth;INF200KA16P2
TATA SmallCap Fund - Direct Plan - Payout of Income Distribution cum capital withdrawal option ;INF277K013O7
UTI Nifty Midsmallcap 400 Momentum Quality 100 Index Fund - Direct Plan - Growth Option;INF789F1AB22
Zerodha Nifty MidSmallcap400 50:50 Index Fund - Direct Plan - Growth Option;INF0R8F01190
